 Procedimentos hospitalares do SUS - por local de internação - Brasil
AIH aprovadas por Unidade da Federação e Ano/mês atendimento
Período:Jan/2008-Set/2021
"Unidade da Federação";"1992/Mar";"1992/Abr";"1993/Mai";"1993/Dez";"1994/Jan";"1994/Fev";"1994/Mai";"1994/Ago";"1994/Nov";"1995/Jan";"1995/Mar";"1995/Jun";"1995/Ago";"1995/Dez";"1996/Fev";"1996/Mar";"1996/Ago";"1996/Dez";"1997/Fev";"1997/Nov";"1998/Fev";"1998/Mar";"1998/Jul";"1998/Ago";"1998/Set";"1998/Out";"1998/Dez";"1999/Fev";"1999/Mar";"1999/Mai";"1999/Jul";"1999/Ago";"1999/Set";"1999/Out";"1999/Nov";"1999/Dez";"2000/Jan";"2000/Fev";"2000/Mar";"2000/Abr";"2000/Mai";"2000/Jun";"2000/Jul";"2000/Ago";"2000/Set";"2000/Out";"2000/Nov";"2000/Dez";"2001/Jan";"2001/Fev";"2001/Mar";"2001/Abr";"2001/Mai";"2001/Jun";"2001/Jul";"2001/Ago";"2001/Set";"2001/Nov";"2001/Dez";"2002/Jan";"2002/Fev";"2002/Mar";"2002/Mai";"2002/Jun";"2002/Jul";"2002/Out";"2002/Nov";"2002/Dez";"2003/Jan";"2003/Fev";"2003/Mar";"2003/Abr";"2003/Jun";"2003/Jul";"2003/Ago";"2003/Out";"2003/Nov";"2003/Dez";"2004/Jan";"2004/Fev";"2004/Mar";"2004/Abr";"2004/Mai";"2004/Jun";"2004/Jul";"2004/Ago";"2004/Set";"2004/Out";"2004/Nov";"2004/Dez";"2005/Jan";"2005/Fev";"2005/Mar";"2005/Abr";"2005/Mai";"2005/Jun";"2005/Jul";"2005/Ago";"2005/Set";"2005/Out";"2005/Nov";"2005/Dez";"2006/Jan";"2006/Fev";"2006/Mar";"2006/Abr";"2006/Mai";"2006/Jun";"2006/Jul";"2006/Ago";"2006/Set";"2006/Out";"2006/Nov";"2006/Dez";"2007/Jan";"2007/Fev";"2007/Mar";"2007/Abr";"2007/Mai";"2007/Jun";"2007/Jul";"2007/Ago";"2007/Set";"2007/Out";"2007/Nov";"2007/Dez";"2008/Jan";"2008/Fev";"2008/Mar";"2008/Abr";"2008/Mai";"2008/Jun";"2008/Jul";"2008/Ago";"2008/Set";"2008/Out";"2008/Nov";"2008/Dez";"2009/Jan";"2009/Fev";"2009/Mar";"2009/Abr";"2009/Mai";"2009/Jun";"2009/Jul";"2009/Ago";"2009/Set";"2009/Out";"2009/Nov";"2009/Dez";"2010/Jan";"2010/Fev";"2010/Mar";"2010/Abr";"2010/Mai";"2010/Jun";"2010/Jul";"2010/Ago";"2010/Set";"2010/Out";"2010/Nov";"2010/Dez";"2011/Jan";"2011/Fev";"2011/Mar";"2011/Abr";"2011/Mai";"2011/Jun";"2011/Jul";"2011/Ago";"2011/Set";"2011/Out";"2011/Nov";"2011/Dez";"2012/Jan";"2012/Fev";"2012/Mar";"2012/Abr";"2012/Mai";"2012/Jun";"2012/Jul";"2012/Ago";"2012/Set";"2012/Out";"2012/Nov";"2012/Dez";"2013/Jan";"2013/Fev";"2013/Mar";"2013/Abr";"2013/Mai";"2013/Jun";"2013/Jul";"2013/Ago";"2013/Set";"2013/Out";"2013/Nov";"2013/Dez";"2014/Jan";"2014/Fev";"2014/Mar";"2014/Abr";"2014/Mai";"2014/Jun";"2014/Jul";"2014/Ago";"2014/Set";"2014/Out";"2014/Nov";"2014/Dez";"2015/Jan";"2015/Fev";"2015/Mar";"2015/Abr";"2015/Mai";"2015/Jun";"2015/Jul";"2015/Ago";"2015/Set";"2015/Out";"2015/Nov";"2015/Dez";"2016/Jan";"2016/Fev";"2016/Mar";"2016/Abr";"2016/Mai";"2016/Jun";"2016/Jul";"2016/Ago";"2016/Set";"2016/Out";"2016/Nov";"2016/Dez";"2017/Jan";"2017/Fev";"2017/Mar";"2017/Abr";"2017/Mai";"2017/Jun";"2017/Jul";"2017/Ago";"2017/Set";"2017/Out";"2017/Nov";"2017/Dez";"2018/Jan";"2018/Fev";"2018/Mar";"2018/Abr";"2018/Mai";"2018/Jun";"2018/Jul";"2018/Ago";"2018/Set";"2018/Out";"2018/Nov";"2018/Dez";"2019/Jan";"2019/Fev";"2019/Mar";"2019/Abr";"2019/Mai";"2019/Jun";"2019/Jul";"2019/Ago";"2019/Set";"2019/Out";"2019/Nov";"2019/Dez";"2020/Jan";"2020/Fev";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"2020/Set";"2020/Out";"2020/Nov";"2020/Dez";"2021/Jan";"2021/Fev";"2021/Mar";"2021/Abr";"2021/Mai";"2021/Jun";"2021/Jul";"2021/Ago";"2021/Set";"Total"
"52 Goiás";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;1;-;-;-;-;-;-;-;10;-;1;-;-;-;-;-;1;1;1;-;3;3;-;-;-;3;8;298;812;1989;4158;16000;59084;29337;34424;34726;30486;29695;29725;31764;33035;30066;26718;25193;28734;27544;34462;32337;31959;29819;30512;33054;31896;30967;31121;30026;33604;31355;36044;32983;36096;29868;29466;33584;33278;30605;30200;28640;30787;29653;34761;30693;30673;28347;29379;31609;30702;30631;29593;26790;28834;28919;31687;29929;29410;28303;26909;30034;28806;28663;25459;24278;28878;28028;31893;32559;31005;29073;28839;30479;30616;30686;29285;27425;29365;27899;30063;31711;31902;29170;28845;30239;31425;30670;28423;28558;29509;27998;33489;32206;32385;30170;29454;29613;29886;29571;27939;26757;27992;27853;31288;29258;29342;28315;26918;28972;28008;26028;24833;24643;27007;25944;31066;28386;30186;27754;27250;29332;27240;28662;26934;26267;28354;25881;29592;28899;29282;26874;27335;28369;27600;28254;26860;26343;27982;26774;28798;30699;31364;28655;29027;29713;29260;30101;28073;27388;29241;27547;26877;21433;23230;24447;26131;26422;26844;27407;25829;25414;26777;26347;30167;29102;30047;28461;26062;21075;12374;4848756
"53 Distrito Federal";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4;12;1;-;1;1;9;47;281;1920;4752;9373;14528;14226;16591;16587;15980;15386;15110;15660;16058;15614;15059;14165;14675;14043;17418;16167;16196;15336;15691;15849;15812;14780;15016;14392;15454;14581;17322;16310;16715;14889;15334;16309;15917;15482;14716;14115;15337;15111;16687;16476;16520;15288;15203;16519;15798;15388;15214;14334;15404;14779;16416;15860;16617;15551;15765;16282;15407;16426;14274;14565;15593;14429;16526;17255;16493;15590;16042;16041;15570;15906;13955;13897;14737;14557;15985;15987;16208;14866;15406;14954;14908;14864;13943;13105;13390;12580;15476;15840;15513;14273;13976;13908;13591;12824;13129;13340;14096;14155;16129;15741;16495;16262;15805;17030;16029;15869;14923;15579;16606;15833;19412;17018;15367;17014;15822;17172;16202;17081;15633;15490;16657;15507;18109;17585;18045;16916;17146;17612;17685;17559;17424;17176;18431;18100;19888;20580;20476;18613;19907;20452;19985;20292;17891;17454;18392;17698;18183;15927;16711;16612;17013;17760;17695;18499;17320;17587;18834;18110;21095;19205;20059;18959;18315;16794;11825;2682608
"Total";42;13;16;32;40;20;20;16;24;20;17;20;7;16;16;16;40;20;39;35;17;4;756;1489;1387;19;18;91;91;36;36;27;63;21;129;50;40;29;6;22;23;26;86;40;19;3;28;3;210;382;19;3;72;20;4;20;47;94;12;39;24;10;19;19;58;46;20;20;40;6;36;23;21;20;1;75;1;61;65;74;113;17;20;55;57;80;58;76;20;39;103;23;5;13;18;246;29;13;59;43;10;59;263;81;47;42;27;94;44;1;27;2;2;26;101;131;51;31;21;114;448;6379;16061;54200;133465;395459;1856970;874912;967318;988508;965542;938037;973200;943285;952183;941727;870228;830696;927946;835889;1029709;964866;985134;949117;982471;983860;966784;960702;941211;887943;975369;886481;1063256;1002383;1028463;946662;965531;1020580;974607;961511;944825;907792;985350;934940;1022343;970603;1011925;950339;947356;1001483;943246;951686;932598;891438;952304;893168;1022786;958286;1022473;946994;969852;986085;923346;973215;880301;832175;961889;851534;973225;1006883;995923;951308;975876;975785;957618;998835;916302;871838;965015;901587;966502;973157;1012391;947176;992875;995201;1000137;997250;929474;893280;928976;858632;1044372;989220;1012886;975428;985196;978416;957329;957540;927076;881363;926280;910963;1026712;980683;1002016;977810;976744;995296;943071;932946;886379;859792;930754;867695;1038399;947600;1044753;985881;989817;1031058;957251;996013;952024;914603;986688;887689;1029031;1034245;1046045;996594;1024493;1044209;980576;1041396;972387;931042;1006669;948955;1022394;1053725;1099900;1010118;1062814;1053647;1032789;1069274;994810;952005;1019976;953354;932277;723150;786072;810959;868000;879152;901249;936188;921072;890571;921129;880918;1001794;941612;1011118;943483;861799;740962;425740;158928957
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Notas:
 
 Dados referentes aos últimos seis meses, sujeitos a  atualização.
 A partir do processamento de junho de 2012, houve mudança na classificação da natureza e esfera dos estabelecimentos. Com isso, temos que:
      
      Até maio de 2012 estas informações estão disponíveis como "Natureza" e "Esfera Administrativa".
      De junho de 2012 a outubro de 2015, estão disponíveis tanto como "Natureza" e "Esfera Administrativa", como "Natureza Jurídica" e "Esfera Jurídica".
      A partir de novembro de 2015, estão disponíveis como "Natureza Jurídica" e "Esfera Jurídica".
      
 
